draws,lp__,overall_mean,yearly_trend,theta,sigma,p_jump,mu_jump,sigma_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
10,-49449.337167698286,51.21172810057505,-16.399269207167155,0.14917133401701838,3.467749425474258,0.13472183692483053,1.6036560462511344,9.890768728604602,0.6488219305998864,0.5647160563412253,0.30933274497845487,0.2805624236214243,-0.6790189893217236,-1.0429841798639694,-1.20474086981232,-3.330950526118945,-4.134523363784456,-2.5065382382010855,1.8387896728061952,6.17401854491064,8.627827532840774,10.109072922842785,9.18761434189846,7.493450864698995,5.882109445929589,3.7509042314616248,2.433078812630771,2.6391566807769777,6.136251333582775,12.796819360499429,18.834652446634603,17.096296014126484,13.28020708751847,8.30987318136069,4.422776246011047,3.187008442358262,0.5089729469456802,2.35170319852181,-0.7059940778051284,0.9381108524618106,3.9467525925194917,-1.9009498998493353,-1.8208583543928236
11,-49451.91441885843,50.13672524554041,-15.818422671816,0.14298598334007484,3.4344617184401907,0.14043718901929844,1.6422770849243542,9.849405330541835,0.5702699005286057,1.1185157926777942,0.40193820451013174,0.8191386746963972,-0.29381767158690764,-1.4599785686523072,-1.0612599076719855,-3.159346092861525,-3.824729922220258,-2.424776904838701,2.3139258832752345,6.147016143780036,8.594376765581854,9.894635602844136,8.782037567274026,7.179067517906106,5.839457020437025,3.833145160452695,2.514525383034051,2.5952117083857336,6.046440252008101,12.891076344810797,19.059105548062732,17.39220908745383,13.666192885157212,8.687055463957577,4.579534059400035,3.4141812159585516,0.32704699673482357,2.2550634390001894,-0.8595616891034549,1.094625819961269,4.351892190405981,-1.8587061756091818,-1.6057171160996477
12,-49451.02407570027,50.76432439649271,-16.14473965203098,0.15318699097822736,3.528754582675007,0.12171095572013553,1.8071586948129268,10.181018034899273,0.5277628029507446,0.7467600055067752,0.2143340757858297,-0.4733244324883877,-1.2902200449492804,-1.1477382232763813,-1.0988595769989868,-3.2404332862587384,-3.8269067081671504,-2.206024986158975,2.385223076724084,6.641517322711874,9.19011311555505,10.228983729069421,9.290013235798694,7.525938632178998,5.995115871857999,4.225069911804059,2.448827069446062,2.5814368307681903,5.885030317305765,12.75272225648552,19.145180793172752,17.463865985581673,13.592194649041991,8.552105197855683,4.592496646632674,3.219710550886463,0.49077775289486664,2.356538227459344,-0.5613805949452644,0.8617103056192542,4.014134384154028,-2.172455080724721,-1.1434308747142865
13,-49456.164006318526,51.027304488561256,-16.36491944978177,0.13710339189872242,3.36562460265666,0.14880863758303842,1.4432908201330321,9.545866077078259,0.7528999854580287,1.1753493794042578,0.6259803686602796,0.07138258841218086,-1.7310699119863204,-1.4037714821535128,-1.2895386230653387,-3.1389211918055238,-3.8517402655968342,-2.3408828050511277,2.2254047268256194,6.085712725696982,8.951756279029127,10.400849842297887,9.492059773820474,7.77817072173707,6.127614903539292,4.2166864171628395,2.611847162750511,2.7439310482278128,5.938498092825025,12.704831068686289,18.79623283008359,17.34250712539369,13.4311653124821,8.620748439397987,4.902909843556987,3.595759845970385,0.48185671300719024,2.389511734953841,-0.7734422998925479,0.3269393314009631,3.789428526331684,-2.0539766168516085,-1.6677713743780183
14,-49451.592315429676,50.69137861450606,-16.135453699996003,0.13878706985887881,3.4471861782790203,0.13729996566617705,1.5701569032544787,9.892945260340737,0.15019610133937403,0.8838671777203704,0.5853138166757588,0.21315884739117025,-1.4867532830083316,-1.8223605386090087,-1.420596551084426,-3.35018365653484,-3.8093321279718233,-2.028328475663975,2.4312346283468593,6.548445756761687,9.113034700575694,10.317403874937082,9.490055576957332,7.643922412642357,6.306892801869303,4.396653163479171,2.721630204452611,3.0256749718864486,6.00894153138608,12.610703581789016,18.953785877931036,17.63103777006916,14.042520392090609,8.75351937401919,4.823510435198413,3.398755007249145,0.5191483745023929,1.512978749586947,-1.700433019211423,1.115495609526617,4.260328576989719,-2.3744456029451477,-1.2317028421440028
15,-49446.957284656826,51.08347354132413,-16.572496487022736,0.1422320148773804,3.5403996669822617,0.12593905623233487,1.5778198704721857,10.512324309515703,-0.03853430922426729,0.10781248840335825,0.1720655740743739,0.1194412371781512,-1.4448167243111891,-1.4428308406237893,-1.4621846313588658,-3.2717971289255185,-3.790211727049926,-2.2607420683828727,2.5631735900256185,6.517349653877488,9.239233079186121,10.65961547955745,9.76091791069184,8.210646077847782,6.789631773393931,4.919269188043232,3.333594508576258,3.4983386902240627,6.705983606132736,13.256023636422794,19.198782331125614,17.619299845151644,14.139860091452572,8.96607144714355,5.013744091708636,3.347486172784424,0.642904755687878,2.4695180348383245,-1.0884800959880998,0.491405862566338,4.161739362145151,-1.9621226789384394,-1.7158084680269885
16,-49448.10962402841,50.77907159438605,-16.21502574893846,0.15322047369733083,3.553864779744112,0.12001088159596877,1.6871740400009034,10.24074894020916,0.3964801087647213,0.9906218278072343,0.3438815647330845,-0.2525709294665833,-1.2917330027154095,-1.3674286143043985,-1.2182047092086536,-3.233399954235356,-3.7717923382722507,-1.9836733251379168,2.3272608179173346,6.655984459549806,9.12777073692676,10.210765721329063,9.274750198691443,7.544598672418775,6.183169416746554,4.1528459154246065,2.396440020719697,2.56356139056851,5.98497302209253,12.992422953372634,19.119310838891625,17.390427409252712,13.65054798906104,8.591683389944771,4.560163000050368,3.1651533052707563,0.6331420626406671,2.6101598974912386,-0.7110475420196583,0.9624290736147382,4.159571705956821,-1.9457554035343823,-1.236930445826481
17,-49458.95526306185,50.99011774622255,-16.43435348296562,0.13519319806784413,3.3676644878976654,0.15518702988757432,1.5303797702364024,9.677169540730047,0.5501264404054672,1.2430719445329395,0.6408791221428303,-0.0766176911108922,-1.522252156372609,-1.6528087620427931,-1.2502121956476482,-3.1176425573380127,-3.9501358203257833,-2.3025631207971835,2.0590102683412894,5.964646983608424,8.974890658598353,10.63420650699626,9.789710071158549,7.703446063290623,6.181583052523793,4.116362180224965,2.5303065651208154,2.8062481414655793,6.208500151559465,12.627849138494394,18.692132239048888,17.16558470228875,13.569788601403108,8.595528926725018,4.841133741502705,3.5778855567161987,0.4975121283903796,2.36732568896191,-0.6538340446167706,0.39020822464862714,3.9250812780316595,-2.222504078075683,-1.6311895652705641
18,-49443.52191737509,51.351991265610046,-16.772284960689003,0.14242083193941515,3.4866691714125757,0.14040171274514798,1.5797699627294712,9.703250959410008,0.13749484666607112,0.7850734371320663,0.49553116446397255,-0.030936385736239455,-1.4847259088187328,-2.0584600577351,-1.2434037988577906,-3.1982808061518995,-3.9103708173505485,-2.457212289065223,2.089109484696218,6.299252865149875,8.82533824122885,10.514480411484616,9.590521700445215,7.838915360999767,6.499631417412792,4.512371162854574,2.8141034113217063,2.862295234372735,6.31448798657663,13.242383192516265,19.251131475487558,17.40449719115737,13.846931817831653,8.942592216418532,4.774661324063511,3.53281093896359,0.673415568318481,2.247622841871539,-1.4636461321646963,0.8709965102005861,4.060435164364975,-1.9277788436393455,-1.4631935350238843
19,-49452.1509776186,51.05052723888753,-16.204989583927382,0.15120162677579013,3.4811259690576852,0.12947035127533074,1.5521977611359714,9.909376231780952,0.1435598656637267,0.6958654028966289,0.07465543619614137,-0.30419578846529766,-1.222948724987818,-1.8670543493739464,-1.2497142468061853,-3.622562313314186,-4.172503489966368,-2.4342480098806396,2.4217935725124295,6.411797572696239,9.301304449772314,10.851848213514357,9.893838259301859,8.035111017879977,6.508666321251393,4.320376078126215,2.703483501054431,2.8623419601105007,6.21576627668764,13.033946335890933,19.059757911440094,17.458026318031855,13.933373180767502,8.711205270607126,4.838651131847334,3.6744268494893437,0.6856005688403686,1.9750771775842606,-0.616851076694116,0.8979321263866312,3.9517161914409313,-1.714695166315562,-1.1805166654367278
